PM2.5,PM10,NO,NO2,NOx,CO,AQI_Bucket
40.21,138.73,11.93,8.52,20.46,0.92,Moderate
27.42,104.51,14.66,6.89,27.71,1.31,Moderate
43.88,137.19,13.38,15.46,28.84,0.89,Moderate
44.86,144.69,11.95,14.56,26.51,0.84,Moderate
56.47,158.03,13.78,12.76,35.48,0.75,Moderate
20.96,75.37,13.85,4.88,22.74,0.84,Moderate
92.14,196.87,12.58,8.35,21.02,0.63,Moderate
84.74,196.78,12.55,8.41,20.97,0.66,Poor
72.32,163.27,12.54,8.25,20.79,0.59,Moderate
67.71,106.21,12.56,8.47,21.03,0.69,Moderate
74.3,134.46,12.55,8.61,21.15,0.61,Moderate
104.43,152.02,12.52,8.4,20.93,0.63,Poor
52.81,112.14,12.51,8.31,20.82,0.58,Moderate
51.88,100.81,12.53,8.33,20.86,0.63,Moderate
62.72,124.43,12.59,8.56,21.15,0.58,Moderate
74.08,126.26,12.63,8.34,20.97,0.53,Moderate
72.53,138.75,12.63,8.3,20.93,0.48,Moderate
108.07,76.5,12.63,8.24,20.87,0.97,Poor
74.32,61.18,12.62,8.36,20.99,0.98,Moderate
66.86,67.01,12.53,8.69,21.22,0.74,Moderate
75.49,327.61,12.34,22.51,20.81,0.92,Moderate
99.15,331.54,0.4,8.55,8.62,1.56,Poor
48.66,179.33,1.42,8.57,9.19,1.26,Moderate
67.25,199.98,0.76,8.4,8.35,1.24,Moderate
61.84,194.06,5.32,9.97,12.51,1.8,Moderate
59.22,208.58,12.27,9.6,21.53,1.23,Moderate
54.7,175.81,57.62,29.71,39.7,2.1,Moderate
29.87,135.11,25.06,6.05,21.99,0.75,Moderate
83.88,340.65,33.85,13.99,43.79,2.82,Poor
39.78,171.73,23.1,15.08,38.19,0,Moderate
57.96,119.11,8.37,9.12,17.48,0.16,Moderate
51.58,109.11,11.37,9.3,20.67,0.18,Moderate
28.43,47.3,9.81,9.41,18.61,0,Good
22.09,41.49,10.07,9.35,16.76,0,Good
23.24,40.44,9.38,6.02,12.91,0.36,Good
14.82,31.86,10.62,4.83,7.46,0.13,Good
,28.23,12.49,6.7,19.19,0.24,Good
,38.77,12.69,6.65,19.32,0.37,Good
,127.95,12.49,8.67,21.08,0.14,Moderate
19.92,37.9,13.48,12.06,25.24,1.01,Good
,30.87,12.46,12.01,21,0,Good
,47.04,14.88,13.39,25.88,0,Good
,39.17,21.61,11.55,29.63,0,Good
,24.89,10.26,7.84,18.1,0,Good
,34.62,10.88,10.65,21.4,0,Good
,43.28,10.47,10.85,21.24,0,Good
,42.87,15.68,15.46,31.14,0,Good
,47.01,17.18,14.9,32.09,0,Good
,36.96,15.74,11.61,27.34,0,Good
,41.76,15.74,11.37,27.11,0,Good
,56.83,15.24,11.48,26.72,0,Good
,10.81,18.2,3.94,22.06,0.02,Good
,17.01,5.52,0.79,6.29,0,Good
,27.65,6.39,1.41,7.8,0,Good
,130.41,10.67,15.03,25.7,0,Moderate
,134.54,10.62,14.44,25.04,0,Moderate
,79.33,12.77,18.87,31.65,0,Moderate
,194.56,11.01,15.38,26.39,0,Moderate
,154.77,10.98,12.72,23.7,0,Moderate
,87.81,12.7,10.99,23.68,0,Moderate
,152.34,22.22,21.74,43.96,0,Moderate
,152.55,28.01,27.25,55.27,0,Moderate
,211.81,27.51,26.32,53.83,0,Moderate
,271.06,25.75,26.49,52.24,0,Poor
,228.06,18.97,23.23,42.76,0.09,Poor
,125.47,12.31,18.58,31.89,0,Moderate
,121.94,14.24,19.97,35.21,0,Moderate
,106.02,15.1,20.95,37.05,0.01,Moderate
,112.9,16.77,22.89,40.66,0,Moderate
41.99,143.94,23.68,29.28,41.44,0.01,Moderate
59.95,182.15,31.6,29.53,59.14,0,Moderate
48.96,144.84,25.22,23.73,48.5,0,Moderate
61.79,184.57,25.79,24.41,49.42,0.01,Moderate
37.17,106.31,35.32,26.8,63.12,0,Moderate
42.12,120.38,31.86,27.04,59.9,0.01,Moderate
48.55,138.69,31.37,26.26,58.63,0,Moderate
45.78,130.79,33.67,28.65,63.32,0,Moderate
57.31,175.25,31.74,26.18,58.62,0.02,Moderate
57.94,171.82,23.42,20.66,42.66,0,Moderate
49.3,143.96,27.24,22.59,46.82,0.01,Moderate
116.63,306.18,23.71,21.4,41.97,0,Poor
33.74,87.84,20.17,21.19,41.35,0.01,Moderate
48.76,139.29,22.89,27.79,50.66,0,Moderate
27.22,102.81,29.63,32.62,20.68,0,Moderate
73.92,213.3,34.67,43.28,75.25,0.32,Moderate
96.85,215.67,29.06,32.62,54.79,1.13,Poor
60.41,112.53,32.1,38.15,70,0.81,Moderate
54.89,157.76,33.43,38.02,69.43,0.01,Moderate
62.42,178.25,30.03,34.95,62.91,0,Moderate
33.74,96.43,29.16,37.24,64.4,0,Moderate
48.16,128.53,21.63,29.8,49.43,0.01,Moderate
52.3,139.23,18.8,27.98,44.79,0.01,Moderate
93.43,147.22,19.47,28.7,46.17,0.01,Moderate
112.18,162.8,26.15,34.1,58.25,0,Very Poor
63.86,142.12,24.13,33.08,55.21,0.01,Moderate
65.15,144.93,26.81,33.27,58.08,0.01,Moderate
62.87,139.7,25.09,31.37,54.46,0,Moderate
62.95,140.07,29.56,36.7,64.23,0.01,Moderate
53.8,123.95,28.33,33.28,47.57,0.01,Moderate
76.21,168.2,21.75,26.18,39.31,0.02,Moderate
61.69,137.47,27.29,33.08,55.41,0.01,Moderate
69.19,153.63,34.65,37.59,70.23,0.01,Moderate
54.54,121.13,36.59,41.71,76.3,0.01,Moderate
61.91,138.56,24.94,31.59,53.92,0.02,Moderate
72.97,163.05,30.79,35.39,64.18,0.01,Moderate
81.51,181.02,35.66,37.44,71.01,0.01,Moderate
56.93,126.56,33.91,35.26,67.16,0.02,Moderate
62.09,138.1,30.94,29.75,56.49,0.02,Moderate
64.23,141.23,24.99,22.13,47.12,0.01,Moderate
74.91,178.86,23.65,24.35,45.11,0.01,Moderate
72.08,160.38,26.59,27.11,53.7,0.01,Moderate
70.27,155.08,25.57,27.48,53.03,0.01,Moderate
78.42,186.41,31.71,33.79,59.08,0.05,Moderate
92.38,205.42,21.66,21.67,44.01,0.17,Moderate
77.42,171.98,38.64,19.65,55.01,0.05,Moderate
45.44,100.89,31.86,27.8,59.66,0.01,Moderate
69.5,159.89,25.14,28.99,45,0,Moderate
52.22,115.98,22.07,24.15,45.96,0,Moderate
41.63,133.64,14.03,18.15,32.18,0.01,Moderate
72.66,138.2,16.61,19.13,35.75,0.01,Moderate
47.29,84.07,19.34,16.36,33.57,0.01,Moderate
38.35,110.64,14.47,16.64,30.1,0.5,Moderate
74.98,145.44,103.44,69.8,44.3,0.94,Moderate
59.63,118.65,33.67,64.12,48.79,1.03,Moderate
65.93,129.11,33.11,38.61,54.08,0.97,Moderate
54.21,110.82,73.43,72.44,95.37,1.29,Moderate
84.41,144.68,24.93,29.71,45.5,0.83,Moderate
97.06,176.04,40.72,31.61,60.06,0.96,Moderate
93.87,135.68,13.96,15.08,25.84,1.07,Poor
37.95,76.21,22.15,18.64,35.84,0.79,Moderate
90.72,142.79,10.98,12.11,21.62,1.03,Moderate
69.3,135.22,12.01,9.09,21.09,0.8,Moderate
34.17,70.38,71.16,39.57,81.04,0.66,Moderate
37.44,95.69,13.83,10.04,22.93,0.84,Moderate
58.24,114.75,61.77,47.67,67.32,1.09,Moderate
38.7,93.26,73.32,63.38,95.71,0.76,Moderate
57.3,130.38,45.29,27.38,48.35,0.94,Moderate
55.89,132.32,32.08,20.02,42.14,1.19,Moderate
58.44,141.53,23.22,13.55,30.28,0.84,Moderate
49.65,120.56,17.6,11.27,24.49,1.2,Moderate
63.82,181.11,17.18,10.54,23.38,0.39,Moderate
38.14,123.69,14.94,7.91,16.64,0.58,Moderate
51.45,115.44,16.52,9.43,17.31,0.68,Moderate
46.72,88.35,18.38,9.22,21,0.53,Moderate
50.27,146.22,53.67,22.83,64.27,0.69,Moderate
52.25,116.06,24.07,13.75,30.02,0.62,Moderate
40.12,96.78,15.33,11.14,18,0.55,Moderate
71.78,157.84,16.8,11.13,22.12,1.17,Moderate
44.71,79.43,13.34,10.76,16.12,0.79,Moderate
62.47,113.81,16.54,11.16,20.55,0.78,Moderate
55.22,177.85,11.61,8.66,16.39,0.76,Moderate
31.45,79.17,12.1,8.29,16.71,0.84,Moderate
39.39,148.72,12.05,10.47,21.7,0.43,Moderate
34.2,121.47,11.64,10.6,20.98,0.37,Moderate
39.29,104.66,11.42,10.8,16.89,0.38,Moderate
60.87,154.12,49.82,27.4,42.48,0.24,Moderate
48.44,135.54,41.18,25.05,47.83,0.48,Moderate
50.87,122.29,25.26,15.78,23.76,0.3,Moderate
24.73,49.38,9.45,9.94,18.63,0.5,Good
25.95,51.61,16.38,14.3,23.36,0.08,Good
17.41,41.49,9.36,9.96,17.13,0.35,Good
23.92,45.63,8.83,10.22,17.6,0.51,Good
16.58,37.38,9.06,9.41,17.4,0.1,Good
24.34,49.36,9.15,9.82,17.87,0.54,Good
21.94,49.35,8.25,9.3,17.08,0.51,Good
23.62,49.13,12.23,9.02,21.25,0.76,Good
22.43,46.17,13.5,9.19,22.22,0.57,Good
19.43,39.75,13.5,9.19,22.69,0.42,Good
11.69,37.87,13.5,9.19,22.69,0.56,Good
16.58,35.71,13.46,9.16,21.71,0.29,Good
25.06,53.57,13.5,9.19,22.69,0.53,Good
43.4,142.24,13.25,8.81,22.06,0.82,Moderate
45.56,70.58,17.74,14.37,30.73,1.52,Moderate
78.08,97.22,13.34,10.88,23.3,0.96,Moderate
16.26,48.02,13.12,10.54,23.63,0.56,Good
48.2,73.6,12.29,11.35,21.7,0.28,Moderate
62.48,136.27,11.15,11.51,21.67,0.54,Moderate
80.27,181.64,11.27,14.51,24.08,0.54,Moderate
96.33,172.08,11.63,18.14,28.97,0.46,Poor
84.31,132.9,11.04,11.56,21.66,0.36,Moderate
90.71,135.6,12.5,13.12,23.71,0.87,Moderate
107.98,161.15,11.28,8.57,19.43,0.56,Poor
116.05,181.67,13.78,9.11,22.22,0.79,Poor
249.1,303.33,43.34,19.85,55.39,0.31,Very Poor
111.47,189.73,29.45,10.03,39.44,0.46,Very Poor
127.13,245.27,17.07,9.78,21.98,0.57,Poor
139.65,226.33,17.01,10.01,26.75,0.31,Very Poor
154.49,235.28,17.73,9.94,27.64,0.37,Very Poor
110.95,181.95,17.66,9.91,27.24,0.52,Very Poor
155.83,305.4,17.13,10.98,27.05,0.34,Very Poor
104.21,207.47,18.27,10.64,24.48,0.71,Poor
97.09,186.99,41.45,32.85,51.49,0.53,Poor
137.13,221.46,16.97,9.95,26.71,0.48,Poor
34.94,71.87,17.16,9.95,26.82,0.55,Poor
84.92,143.08,17.28,10.24,27.46,0.41,Moderate
84.63,158.85,17.16,10.25,27.34,0.8,Moderate
168.71,313.31,17.19,10.31,27.43,0.78,Poor
189.44,339.69,17.22,10,27.22,0.48,Very Poor
148.61,260.33,17.22,10.09,27.31,0.56,Very Poor
103.87,180.68,17.23,10,27.24,0.65,Very Poor
86.49,164.0,17.17,9.91,27.08,0.36,Poor
42.18,105.92,17.22,10.01,27.23,0.66,Moderate
101.44,190.56,17.24,10.01,26.96,0.65,Moderate
147.55,263.97,17.23,10,27.23,0.56,Very Poor
91.41,253.95,17.22,9.98,27.2,0.47,Poor
112.55,180.08,13.18,9.99,23.17,0.66,Poor
57.31,122.03,9.51,10.01,19.52,0.59,Moderate
39.29,146.1,9.5,9.99,19.49,0.48,Moderate
30.77,80.76,9.53,10.03,19.56,0.48,Moderate
25.36,39.49,9.52,9.85,19.31,0.65,Good
26.37,51.37,9.83,10.32,19.82,0.74,Good
84.89,137.8,9.65,9.93,19.5,0.5,Moderate
87.69,140.27,9.51,10.05,19.2,0.59,Moderate
90.75,145.52,10.45,10.6,19.15,0.16,Poor
66.85,103.82,11.81,13.89,20.33,0.5,Moderate
54.62,84.09,10.47,11.54,20.38,0.24,Moderate
74.16,111.95,10.88,10.78,18.86,0.82,Moderate
67,114.79,11.94,12.9,21.4,0.74,Moderate
103.57,162.16,14.29,15.08,23.71,0.7,Moderate
128.64,202.77,11.96,14.02,21.02,0.66,Poor
86,132.04,11.49,12.72,20.34,0.54,Poor
28.77,44.31,11.17,12.31,17.56,0.72,Moderate
24.95,35.96,12.59,14.74,22.04,0.77,Good
63.18,80.52,12.08,12.09,21.16,0.68,Moderate
108.34,125.24,11.99,11.94,21,0.62,Moderate
52.95,69.41,13.13,13.09,21.88,0.63,Moderate
69.27,101.77,12.78,13.24,21.79,0.53,Moderate
97.42,128.35,9.53,9.83,18.23,0.64,Poor
52.73,76.1,10.3,10.53,19.5,0.74,Moderate
77.3,105.41,10.48,10.73,19.7,0.73,Moderate
80.31,106.95,9.62,10.78,19.14,0.64,Moderate
80.8,107.95,10.05,10.88,19.25,0.75,Moderate
71.17,97.83,9.78,10.78,17.36,0.4,Moderate
71,98.3,9.93,10,19.75,0.59,Moderate
94.38,137.93,9.91,10.38,18.95,0.42,Moderate
80.8,115.13,9.91,10.44,18.85,0.3,Moderate
78.22,110.89,9.63,10.03,18.02,0.62,Moderate
96.86,134.78,9.35,10.02,19.27,0.11,Poor
65.12,95.22,9.51,9.67,17.61,0.28,Moderate
24.14,31.7,9.89,10.12,18.84,0.62,Good
55.79,76.73,9.78,9.74,19.48,0.47,Moderate
64.93,108.1,9.57,10.17,19.06,0.68,Moderate
71.6,130.66,10.19,10.17,20.05,0.7,Moderate
45.03,82.9,9.88,10.69,18.16,0.73,Moderate
21.43,139.43,10.12,10.15,19.02,0.47,Moderate
67.56,103.84,27.82,21,36.62,0.49,Moderate
74.16,128.7,18.61,11.48,27.36,0.46,Moderate
62.25,102.49,17.94,13.47,28.51,0.33,Moderate
92.15,166.94,17.97,11.59,26.63,0.9,Moderate
113.54,160.38,17.18,11.18,27.37,0.21,Poor
63.68,115.75,17.14,10.13,26.59,1.03,Moderate
84.93,187.15,17.48,10.4,26.72,0.3,Moderate
38.88,136.28,18.01,13.17,27.73,0.5,Moderate
42.33,117.43,17.64,11.27,26.66,0.76,Moderate
33.14,100.08,16.9,10.48,27,0.66,Moderate
41.33,123.92,17.35,10.41,27.39,0.78,Moderate
69.4,154.93,17.22,10.43,26.33,0.44,Moderate
66.39,145.96,18.06,11.42,27.62,0.87,Moderate
59.59,144.61,17.56,11.48,27.13,0.74,Moderate
58.55,134.7,19.04,13.05,29.17,0.76,Moderate
71.27,156.66,21.07,14.77,29.73,0.31,Moderate
58.17,133.37,19.01,13.89,27.62,1.33,Moderate
67.24,142.34,17.4,11.73,26.33,0.64,Moderate
26.4,83.14,19.15,12.31,29.03,0.62,Moderate
33.46,103.81,18.06,11.38,27.5,0.61,Moderate
55.5,135.96,17.43,10.82,26.5,0.44,Moderate
40.15,107.64,18.14,13.18,28.04,0.62,Moderate
41.78,109.94,18.18,10.31,27.98,0.72,Moderate
45.62,118.05,17.72,10.48,25.35,0.64,Moderate
39.08,107.8,17.38,10.28,27.28,0.62,Moderate
40.61,110.94,17.07,10.97,27.42,0.48,Moderate
20.09,34.55,18.33,11.21,28.01,0.85,Good
17.45,38.01,18.7,11.4,28.05,0.7,Good
8.8,18.03,21.51,11.43,31.09,0.8,Good
11.33,30.5,18.12,11.33,27.79,0.82,Good
9.84,39.79,19.48,13.03,29.25,0.79,Good
13.72,51.33,21.63,14.02,31.4,0.74,Good
23.98,112.59,25.07,17.26,34.95,0.76,Moderate
32.01,141.16,20.93,14.93,30.16,0.78,Moderate
28.37,114.11,20.75,16.36,29.69,0.63,Moderate
68.2,113.31,19.12,13.29,29.59,0.62,Moderate
54.78,96.64,18.45,12.8,28.26,0.48,Moderate
13.33,25.58,27.84,22.14,37.92,0.63,Good
19.12,33.74,30.02,39.8,34.58,0.71,Good
26.72,486.99,20.32,12.54,29.09,0.58,Severe
30.13,167.85,20.82,15.08,28.88,0.74,Moderate
15.5,24.76,21.22,15.84,30.45,0.77,Good
26.99,43.07,21.13,15.1,30.36,0.59,Good
24.76,93.78,16.61,8.31,24.6,0.65,Moderate
28.49,108.35,16.93,7.97,24.78,0.75,Moderate
37,119.96,19.94,16.04,26.67,0.68,Moderate
40.46,131.87,31.85,26.2,42.08,0.73,Moderate
34.6,123.23,21.98,18.43,30.65,0.74,Moderate
47.94,169.06,19.11,12.63,27.07,0.62,Moderate
55.58,88.74,58.55,53.34,77.94,0.71,Moderate
68.81,312.18,18.9,12.03,25.83,0.67,Moderate
23.77,69.62,17,9.97,23.17,0.59,Moderate
26.77,60.69,26.99,19.83,34.03,0.67,Good
,122.52,7.93,3.08,11.04,0.75,Moderate
,125.4,7.32,3.89,11.28,0.7,Moderate
,119.42,6.87,2.77,9.65,0.64,Moderate
,118.59,5.99,4.62,10.49,0.66,Moderate
33.66,105.3,10.94,6.56,11.8,0.73,Moderate
13.93,49.87,12.76,3.31,7.67,0.5,Good
43.67,104.59,10.14,4.64,10.57,0.61,Moderate
53.12,120.09,17.13,5.73,16.77,0.85,Moderate
56.82,121.89,13.25,6.53,13.7,0.74,Moderate
50.45,106.22,13.64,6.51,14.27,0.74,Moderate
58.03,106.62,13.94,5.64,14.67,0.72,Moderate
74.8,128.72,13.92,6.28,14.43,0.83,Moderate
73.44,135.12,16.48,6.34,16.6,0.95,Moderate
83.96,151.62,17.66,6.6,17.59,1,Moderate
80.65,133.85,16.88,7.57,17.78,0.88,Moderate
56.2,108.33,12.07,5.93,12.92,0.61,Moderate
51.84,109.52,14.08,5.48,14.22,0.62,Moderate
53.9,111.12,10.73,5.4,11.43,0.59,Moderate
53.79,117.94,11.51,5.22,11.97,0.54,Moderate
47.72,106.01,10.27,4.3,10.48,0.54,Moderate
46.9,108.1,18.05,5.96,17.37,0.73,Moderate
71.66,130.66,21.97,7.38,21.56,0.91,Moderate
92.3,159.18,17.22,7.59,17.86,0.99,Moderate
104.11,150.29,12.26,6.84,13.52,0.82,Poor
122.16,180.25,7.8,16.3,11.84,0.73,Poor
154.85,224.22,33.17,13.6,33.08,0.82,Very Poor
110.06,184.04,36.29,19.43,43.39,1.29,Poor
108.09,181.54,17.27,11.43,20.99,1.01,Poor
109.17,169.19,9.28,10.06,13.98,0.99,Poor
112.71,190.12,7.24,13.46,14.1,0.89,Poor
123.26,190.28,14.3,11.76,18.63,1.02,Poor
135.98,215.41,4.69,8.11,5.18,0.98,Poor
114.56,166.58,4.58,6.33,7.82,0.69,Very Poor
53.96,115.54,7.09,6.08,9.39,0.54,Moderate
58.85,125.5,15.47,7.78,13.85,1.02,Moderate
96.95,162.86,4.57,17.22,13.93,0.85,Poor
63.35,122.19,3.11,10.68,13.76,0.5,Moderate
84.1,125.61,1.32,17.06,18.48,0.53,Poor
44.9,76.48,2.6,18.03,20.07,0.45,Moderate
61.28,138.26,16.84,48.98,66.05,0.84,Moderate
59.05,98.34,8.75,12.28,13.41,0.73,Moderate
78.39,120.04,11.61,11.11,14.88,0.61,Moderate
81.14,140.46,25.39,15.46,27.98,0.77,Moderate
91.88,171.84,59.58,13.5,52.75,1.3,Moderate
92.12,167.97,70.94,5.08,59.09,1.25,Poor
77.58,135.81,44.31,10.6,41.3,0.96,Moderate
69.8,133.11,43.97,12.89,42.09,1,Moderate
69.48,111.77,33.52,14.4,33.18,0.87,Moderate
97.55,196.46,29.9,21.94,34.45,0.92,Moderate
90.07,153.17,27.56,20.88,32.57,0.86,Poor
119.05,175.51,33.79,21.97,38.56,1.06,Poor
108,141.0,34.59,23.28,40.18,1.01,Very Poor
21.86,53.35,6.07,14.69,12.52,0.4,Moderate
39,70.49,8.42,14.96,14.58,0.48,Good
91.41,119.91,7.9,14.2,13.76,0.66,Moderate
98.48,132.54,8.48,14.95,14.25,0.8,Poor
68.55,119.96,5.88,11.44,10.79,0.8,Moderate
46.06,87.11,2.7,11.25,8.04,0.62,Moderate
67.27,132.94,10.35,13.21,15.23,0.72,Moderate
77.1,156.58,12.15,11.78,14.9,0.69,Moderate
58.68,99.91,11.84,12.41,16.18,0.77,Moderate
72.34,140.37,38.14,16.28,36.66,1.04,Moderate
77.06,145.42,49.23,14.74,48.79,1.24,Poor
63.22,135.76,46.81,15.96,45.21,1.11,Moderate
45.65,102.2,40.57,13.18,39.43,0.97,Moderate
45.79,94.86,36.01,11.14,34.87,0.93,Moderate
51.15,106.42,6.6,13.63,12.1,0.64,Moderate
31.92,43.82,18.41,9.94,19.91,0.61,Good
28.35,47.36,3.41,11.19,8.54,0.44,Good
75.8,165.63,17.43,17.6,23.12,0.92,Moderate
63.64,120.83,18.37,15.63,23.05,0.88,Moderate
58.57,134.0,18.14,11.8,20.29,0.69,Moderate
46.76,96.89,20.11,11.33,22.08,0.78,Moderate
65.75,140.69,38.7,16.84,39.52,1.03,Moderate
41.75,93.67,18.17,12.43,21.1,0.73,Moderate
63.05,108.46,29.72,14.09,31.22,0.9,Moderate
40.04,89.37,15.87,17.71,21.46,0.64,Moderate
48.43,112.21,32.31,16.22,34.89,0.87,Moderate
52.11,95.92,29.84,17.65,28.07,0.82,Moderate
58.61,103.76,23.06,19.65,28.42,0.82,Moderate
58.08,109.57,25.78,18.27,30.22,0.89,Moderate
55.99,118.21,18.39,17.75,24.25,0.85,Moderate
54.47,114.12,3.68,15.96,11.31,0.65,Moderate
45.96,94.73,1.7,14.52,8.96,0.59,Moderate
49.94,140.48,29.86,23.78,36.57,1,Moderate
40.09,105.55,3.48,22.32,14.23,0.66,Moderate
28.86,59.53,9.04,16.27,15.75,0.61,Good
55.33,122.12,20.93,22.96,28.95,1.03,Moderate
48.22,112.13,9.79,19.63,18.3,0.79,Moderate
13.67,38.03,4.61,17.43,12.82,0.4,Good
13.4,26.33,18.12,12.2,20.48,0.57,Good
21.62,53.89,1.64,13.26,8.13,0.38,Good
19.08,38.09,7.16,19.73,15.69,0.54,Good
17.86,40.9,6.34,18.04,14.58,0.46,Good
9.63,23.2,4.21,12.29,9.75,0.38,Good
10.57,36.5,4.62,9.66,8.78,0.46,Good
14.77,38.24,2.41,10.02,7.16,0.54,Good
16.69,34.29,2.07,9.91,6.82,0.5,Good
15.43,37.65,3.62,8.88,6.15,0.52,Good
13.28,40.33,1.85,8.79,6.07,0.5,Good
18.86,34.12,2.98,9.17,6.85,0.5,Good
7.73,15.78,1.67,9.4,6.25,0.38,Good
18.82,41.48,1.33,9.31,5.96,0.3,Good
12.34,29.51,1.55,10.05,6.48,0.38,Good
15.51,39.66,1.46,10.85,6.85,0.49,Good
12.25,26.47,2.32,10.86,7.53,0.4,Good
11.2,31.54,1.47,9.8,6.3,0.39,Good
11.91,22.03,1.53,11.26,7.14,0.39,Good
12.77,29.32,1.47,11.97,7.43,0.46,Good
15.43,34.61,2.15,13.07,8.54,0.54,Good
20.93,47.96,1.66,10.91,6.06,0.41,Good
11.46,40.6,0.98,9.63,5.81,0.38,Good
11.19,33.44,1.66,11.89,7.54,0.42,Good
10,24.49,2.22,12.34,8.22,0.5,Good
12.37,35.91,1.98,11.89,7.79,0.47,Good
14.16,42.72,2.58,11.66,8.18,0.53,Good
15.62,44.12,1.34,10.16,6.38,0.51,Good
19.73,44.85,1.68,10.72,6.95,0.54,Good
6.86,22.51,2.12,10.47,7.17,0.41,Good
11.4,20.39,3.53,11.89,9.05,0.57,Good
12.87,32.33,3.78,13.35,9.8,0.47,Good
11.29,24.44,3.23,12.47,9.09,0.58,Good
16.05,35.61,3.05,12.3,8.83,0.59,Good
10.3,21.14,2.82,12.76,8.9,0.53,Good
12.25,34.79,3.56,13.24,9.54,0.45,Good
14.57,40.93,2.7,12.76,8.84,0.59,Good
10.42,27.26,2.14,11.69,7.66,0.51,Good
35.93,148.36,2.98,4.31,10.11,0.67,Moderate
35.26,115.35,2.99,4.15,9.9,0.56,Moderate
24.52,88.82,3.16,4.5,10.35,0.45,Moderate
19.09,94.4,4.36,5.67,10.72,0.38,Moderate
15.25,43.99,3.25,5.34,8.53,0.48,Good
16.6,31.15,3.11,5.43,8.27,0.68,Good
22.07,34.31,2.2,8.37,6.1,0.29,Good
16.79,29.54,2.71,8.58,6.59,0.3,Good
14.15,33.6,1.88,6.87,5.11,0.3,Good
313.22,607.98,69.16,36.39,110.59,15.2,Severe
186.18,269.55,62.09,32.87,88.14,9.54,Severe
87.18,131.9,25.73,30.31,47.95,10.61,Moderate
151.84,241.84,25.01,36.91,48.62,11.54,Very Poor
146.6,219.13,14.01,34.92,38.25,9.2,Very Poor
149.58,252.1,17.21,37.84,42.46,9.44,Very Poor
217.87,376.51,26.99,40.15,52.41,9.78,Very Poor
229.9,360.95,23.34,43.16,51.21,11.01,Very Poor
201.66,397.43,19.18,38.56,45.6,11.09,Very Poor
221.02,361.74,24.79,46.39,55.19,9.7,Very Poor
205.41,393.2,28.46,47.29,57.88,10.98,Very Poor
212.41,345.63,24.77,44.71,54.66,9.3,Very Poor
197.61,301.04,34.28,45.88,62.95,11.52,Very Poor
164.39,227.38,20.78,41.17,48.09,10.32,Very Poor
166.19,283.93,47.91,56.7,79.73,10.81,Very Poor
174.98,309.99,42.33,49.41,70.6,11.46,Very Poor
196.46,356.2,42.18,53.04,80.18,8.87,Very Poor
201.51,359.75,45.51,53.77,75.83,8.99,Very Poor
183.35,305.13,27.32,39.88,55.67,9.02,Very Poor
165.63,257.04,16.47,34.23,37.68,8.03,Very Poor
159.54,235.27,12.27,22.56,33.02,9.01,Very Poor
143.68,183.89,14.75,21.82,34.88,10.58,Very Poor
128.73,136.07,11.99,17.35,29.46,8.74,Poor
164.98,200.02,10.38,15.77,25.49,9.39,Very Poor
148.59,203.81,11.82,20.83,28.29,11.44,Very Poor
129.34,137.86,12.46,25.66,29.48,10.19,Poor
154.2,217.2,14.41,30.39,34.63,10.36,Very Poor
134.6,156.9,18.96,28.6,35.57,10.21,Poor
173.13,277.0,23.14,38.34,48.89,11.74,Very Poor
178.04,272.61,19.8,38.43,44.45,11.58,Very Poor
158.59,207.06,30.67,41.36,57.77,8.7,Very Poor
211.59,371.05,57.56,58.17,93.17,13.08,Very Poor
163.64,219.84,13.7,37.25,39.34,10.59,Very Poor
157.71,194.09,12.28,31.05,34.1,8.21,Very Poor
137.26,147.08,15.21,29.69,36.06,9.11,Very Poor
131.76,127.42,23.15,36.51,47.4,8.18,Poor
151.6,330.99,46.66,67,84.76,5.51,Very Poor
160.75,210.52,37.54,57.69,71.68,10.28,Very Poor
145.34,215.69,30.54,50.39,61.78,5.39,Very Poor
134.67,109.86,19.95,39.18,44.48,5.11,Poor
153.07,218.23,23.41,42.2,48.01,10.88,Very Poor
116.91,316.14,33.79,53.63,64.04,12.64,Very Poor
177.98,394.97,30.48,42.73,58.19,13.75,Very Poor
167.01,328.43,32.23,44.61,55.13,11.26,Very Poor
193.96,412.46,81.47,53.81,107.76,11.73,Very Poor
184.06,497.37,44.16,58.15,75.98,13.78,Very Poor
152.62,310.74,24.32,44.22,49.67,11.55,Very Poor
161.27,195.78,23.71,25.4,42.76,10.3,Very Poor
188.2,253.53,69.2,60.29,104.31,16.23,Very Poor
159.97,193.78,24.53,40.51,47.8,13.11,Very Poor
144.12,162.2,18.1,34.71,40.32,11.45,Very Poor
155.38,191.03,35.51,45.11,57.91,14.21,Very Poor
124.1,107.61,15.38,31.83,32.15,9.73,Poor
141.39,157.01,21.95,38.23,42.71,9.29,Poor
170.16,238.33,36.04,48.4,60.78,14.17,Very Poor
148.19,169.57,14.79,29.28,34.14,14.13,Very Poor
140.78,171.64,11.34,20.95,26.65,13.61,Very Poor
130.42,163.67,13.85,24.75,31.46,12.78,Very Poor
105.86,169.28,9.21,20.65,25.3,11.8,Very Poor
71.83,98.89,8.49,21.42,19.55,11.62,Very Poor
53.71,60.15,11.02,13.43,20.48,10.19,Poor
83.49,112.1,16.23,23.75,30.88,11.72,Poor
